Team_CN,Team_EN,State
华山队,Hua Shan,VA
湖北珞迦队,Hubei Luojia,MD
长江一队,Chang Jiang,VA
科堡一队,Ke Bao I,MD
湖南同乡会一队,Hu Nan I,MD
喜玛拉雅生物二队,Himalyan II,MD
湖北龙虎队,Hubei Longhu,MD
湖北同济队,Hubei Tongji,MD
湖北六队,Hubei VI,MD
清华索赔专家一队,Tsinghua I,VA
川渝一队,Chuan Yu I,VA
科堡三队,Ke Bao III,MD
喜玛拉雅生物一队,Himalyan I,MD
湖北巾帼队,Hubei Jingguo,MD
清华索赔专家二队,Tsinghua II,MD
川渝二队,Chuan Yu II,VA
科堡二队,Ke Bao II,MD
武大一队,Wuhan Univ.,MD
VCA高中队,VCA,VA
盛达地产队,Sheng Da,MD
湖北五队,Hubei V,MD
清华索赔专家三队,Tsinghua III,MD
湖南二队,Hu Nan II,VA
南大一队,Nanjing Univ.,MD
爱玩一族,Ai Wan,VA
武林精英队,Wu Lin Jing Ying,MD
五湖四海队,Wu Hu Si Hai,VA